"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","15q13.3 copy number variation syndrome(wiki)","0.0837209302325581","0.315065060520993","0.962550607287449","1.29219544322369","125","1","hmdb:HMDB0000895"
"2","16p11.2 proximal deletion syndrome(wiki)","0.0113052415210689","0.169200866056491","0.712942108105696","1.72499595340157","10","13","c(""hmdb:HMDB0000232"", ""hmdb:HMDB0000086"", ""hmdb:HMDB0252858"", ""hmdb:HMDB0000211"", ""hmdb:HMDB0006088"", ""hmdb:HMDB0034220"", ""hmdb:HMDB0062138"", ""hmdb:HMDB0240207"", ""hmdb:HMDB0240208"", ""hmdb:HMDB0240209"", ""hmdb:HMDB0240210"", ""hmdb:HMDB0240211"")"
"3","2q11.2 copy number variation syndrome(wiki)","0.101706970128023","0.342694185972765","0.875379939209726","1.31984096328352","142","2","c(""hmdb:HMDB0000126"", ""hmdb:HMDB0252849"")"
"4","3q29 copy number variation syndrome(wiki)","0.207025411061285","0.576402328691684","0.755134729185594","1.25952628499955","276","3","c(""hmdb:HMDB0001565"", ""hmdb:HMDB0001425"", ""hmdb:HMDB0249412"")"
"5","5-Phosphoribose 1-diphosphate biosynthesis(reactome)","0.00713501646542261","0.165409419581786","-0.857661442021052","-1.58104255657356","12","7","c(""hmdb:HMDB0257215"", ""hmdb:HMDB0011734"", ""hmdb:HMDB0001548"", ""hmdb:HMDB0000868"", ""hmdb:HMDB0000618"")"
"6","ABC-family proteins mediated transport(wiki)","0.280067758328628","0.612426948503127","-0.675498243105447","-1.2149561843113","495","6","c(""hmdb:HMDB0244342"", ""hmdb:HMDB0006220"", ""hmdb:HMDB0006218"", ""hmdb:HMDB0002152"", ""hmdb:HMDB0001358"")"
"7","Acetylcholine binding and downstream events(reactome)","0.0837209302325581","0.315065060520993","0.962550607287449","1.29219544322369","125","1","hmdb:HMDB0000895"
"8","Acetylcholine binding and downstream events(wiki)","0.0837209302325581","0.315065060520993","0.962550607287449","1.29219544322369","125","1","hmdb:HMDB0000895"
"9","Acetylcholine inhibits contraction of outer hair cells(reactome)","0.0837209302325581","0.315065060520993","0.962550607287449","1.29219544322369","125","1","hmdb:HMDB0000895"
"10","Acetylcholine regulates insulin secretion(reactome)","0.0837209302325581","0.315065060520993","0.962550607287449","1.29219544322369","125","1","hmdb:HMDB0000895"
"11","Acetylcholine synthesis(wiki)","0.00159489633173844","0.0767000144990576","0.910127773576331","1.74500531391723","1","5","c(""hmdb:HMDB0000086"", ""hmdb:HMDB0252858"", ""hmdb:HMDB0001565"", ""hmdb:HMDB0000895"")"
"12","Activation of anterior HOX genes in hindbrain development during early embryogenesis(reactome)","0.0772311212814645","0.315065060520993","-0.807926829268293","-1.40565753666853","134","5","c(""hmdb:HMDB0244343"", ""hmdb:HMDB0012874"", ""hmdb:HMDB0006219"", ""hmdb:HMDB0002369"", ""hmdb:HMDB0001852"")"
"13","Activation of anterior HOX genes in hindbrain development during early embryogenesis(wiki)","0.0772311212814645","0.315065060520993","-0.807926829268293","-1.40565753666853","134","5","c(""hmdb:HMDB0244343"", ""hmdb:HMDB0012874"", ""hmdb:HMDB0006219"", ""hmdb:HMDB0002369"", ""hmdb:HMDB0001852"")"
"14","Activation of HOX genes during differentiation(reactome)","0.0772311212814645","0.315065060520993","-0.807926829268293","-1.40565753666853","134","5","c(""hmdb:HMDB0244343"", ""hmdb:HMDB0012874"", ""hmdb:HMDB0006219"", ""hmdb:HMDB0002369"", ""hmdb:HMDB0001852"")"
"15","Activation of TRKA receptors(reactome)","0.256456456456456","0.581008417410987","-0.774847870182556","-1.21840197323312","426","3","c(""hmdb:HMDB0247583"", ""hmdb:HMDB0014340"", ""hmdb:HMDB0000050"")"
"16","Adenosine P1 receptors(reactome)","0.256456456456456","0.581008417410987","-0.774847870182556","-1.21840197323312","426","3","c(""hmdb:HMDB0247583"", ""hmdb:HMDB0014340"", ""hmdb:HMDB0000050"")"
"17","ADORA2B mediated anti-inflammatory cytokines production(reactome)","0.256456456456456","0.581008417410987","-0.774847870182556","-1.21840197323312","426","3","c(""hmdb:HMDB0247583"", ""hmdb:HMDB0014340"", ""hmdb:HMDB0000050"")"
"18","ADP signalling through P2Y purinoceptor 12(reactome)","0.175675675675676","0.505067567567568","0.825734549138804","1.24498887161582","246","2","c(""hmdb:HMDB0005011"", ""hmdb:HMDB0247631"")"
"19","Aerobic glycolysis(wiki)","0.0870425321463897","0.315380133598905","0.622249414400416","1.49248232590666","87","12","c(""hmdb:HMDB0000122"", ""hmdb:HMDB0000143"", ""hmdb:HMDB0000169"", ""hmdb:HMDB0001151"", ""hmdb:HMDB0003345"", ""hmdb:HMDB0003449"", ""hmdb:HMDB0012326"", ""hmdb:HMDB0033704"", ""hmdb:HMDB0250761"", ""hmdb:HMDB0304632"")"
"20","Agmatine biosynthesis(reactome)","0.0995732574679943","0.3420406051985","0.879432624113475","1.32595133811354","139","2","c(""hmdb:HMDB0001432"", ""hmdb:HMDB0062762"")"
"21","Alanine, aspartate and glutamate metabolism(kegg)","0.00186306474149977","0.0767000144990576","-0.788003334222151","-1.73785721511836","3","18","c(""hmdb:HMDB0252741"", ""hmdb:HMDB0062500"", ""hmdb:HMDB0002817"", ""hmdb:HMDB0001121"", ""hmdb:HMDB0001062"", ""hmdb:HMDB0003423"", ""hmdb:HMDB0000641"", ""hmdb:HMDB0250742"", ""hmdb:HMDB0000904"")"
"22","Amine Oxidase reactions(reactome)","0.0904334828101644","0.323238597341736","0.836516548431269","1.3952670164205","120","3","c(""hmdb:HMDB0001257"", ""hmdb:HMDB0001256"")"
"23","Amino Acid conjugation(reactome)","0.24807903402854","0.581008417410987","-0.665418771055747","-1.22665581479667","451","7","c(""hmdb:HMDB0003423"", ""hmdb:HMDB0000641"")"
"24","Amino acid conjugation(wiki)","0.0425798371947401","0.262496278408151","-0.942249240121581","-1.3868677973234","67","2","c(""hmdb:HMDB0003423"", ""hmdb:HMDB0000641"")"
"25","Amino acid metabolism pathway excerpt: histidine catabolism extension(wiki)","0.0329249617151608","0.226198762952209","0.860246283209319","1.54852595848627","42","4","c(""hmdb:HMDB0304324"", ""hmdb:HMDB0001014"")"
"26","Amino acids regulate mTORC1(reactome)","0.243189368770764","0.576821376193306","0.878542510121457","1.17941708172257","365","1","hmdb:HMDB0062762"
"27","Amino acids regulate mTORC1(wiki)","0.243189368770764","0.576821376193306","0.878542510121457","1.17941708172257","365","1","hmdb:HMDB0062762"
"28","Amino Sugar Metabolism(kegg)","0.000450653447498873","0.0513517448915207","-0.845658744261554","-1.93765422270475","0","23","c(""hmdb:HMDB0252741"", ""hmdb:HMDB0062500"", ""hmdb:HMDB0059626"", ""hmdb:HMDB0006480"", ""hmdb:HMDB0002817"", ""hmdb:HMDB0001367"", ""hmdb:HMDB0001121"", ""hmdb:HMDB0001062"", ""hmdb:HMDB0003423"", ""hmdb:HMDB0000641"")"
"29","AMP-activated protein kinase signaling(wiki)","0.0870425321463897","0.315380133598905","0.622249414400416","1.49248232590666","87","12","c(""hmdb:HMDB0000122"", ""hmdb:HMDB0000143"", ""hmdb:HMDB0000169"", ""hmdb:HMDB0001151"", ""hmdb:HMDB0003345"", ""hmdb:HMDB0003449"", ""hmdb:HMDB0012326"", ""hmdb:HMDB0033704"", ""hmdb:HMDB0250761"", ""hmdb:HMDB0304632"")"
"30","Amyotrophic lateral sclerosis (ALS)(wiki)","0.243189368770764","0.576821376193306","0.878542510121457","1.17941708172257","365","1","hmdb:HMDB0062762"
"31","Angiopoietin-like protein 8 regulatory pathway(wiki)","0.179083094555874","0.512080848757066","-0.601107231640127","-1.28888762072574","374","15","c(""hmdb:HMDB0257215"", ""hmdb:HMDB0011734"", ""hmdb:HMDB0001548"", ""hmdb:HMDB0000868"", ""hmdb:HMDB0000618"")"
"32","Anti-inflammatory response favouring Leishmania parasite infection(reactome)","0.256456456456456","0.581008417410987","-0.774847870182556","-1.21840197323312","426","3","c(""hmdb:HMDB0247583"", ""hmdb:HMDB0014340"", ""hmdb:HMDB0000050"")"
"33","Antimicrobial peptides(reactome)","0.00939261114589856","0.165409419581786","-0.977085120515534","-1.43814166272185","14","2","hmdb:HMDB0029952"
"34","Antimicrobial peptides(wiki)","0.00939261114589856","0.165409419581786","-0.977085120515534","-1.43814166272185","14","2","hmdb:HMDB0029952"
"35","Arachidonate epoxygenase / epoxide hydrolase(wiki)","0.126522961574508","0.40811369922509","0.618367346938775","1.39537646081002","134","9","c(""hmdb:HMDB0001442"", ""hmdb:HMDB0004686"", ""hmdb:HMDB0256860"", ""hmdb:HMDB0302206"", ""hmdb:HMDB0002265"", ""hmdb:HMDB0002311"", ""hmdb:HMDB0002314"", ""hmdb:HMDB0002343"", ""hmdb:HMDB0244588"")"
"36","Arachidonic acid (AA, ARA) oxylipin metabolism(wiki)","0.264367816091954","0.592587180985778","0.424549837981775","1.18098501130718","206","23","c(""hmdb:HMDB0001139"", ""hmdb:HMDB0001483"", ""hmdb:HMDB0001965"", ""hmdb:HMDB0001977"", ""hmdb:HMDB0002115"", ""hmdb:HMDB0004685"", ""hmdb:HMDB0005083"", ""hmdb:HMDB0006562"", ""hmdb:HMDB0010199"", ""hmdb:HMDB0011137"", ""hmdb:HMDB0060107"", ""hmdb:HMDB0246949"", ""hmdb:HMDB0302209"", ""hmdb:HMDB0002265"", ""hmdb:HMDB0002311"", ""hmdb:HMDB0002314"", ""hmdb:HMDB0002343"", ""hmdb:HMDB0002995"", ""hmdb:HMDB0244588"")"
"37","Arachidonic acid metabolism(reactome)","0.145888594164456","0.453970978311749","0.470103968207279","1.31307925099674","109","25","c(""hmdb:HMDB0013032"", ""hmdb:HMDB0062301"", ""hmdb:HMDB0001139"", ""hmdb:HMDB0001483"", ""hmdb:HMDB0001965"", ""hmdb:HMDB0001977"", ""hmdb:HMDB0002115"", ""hmdb:HMDB0004685"", ""hmdb:HMDB0005083"", ""hmdb:HMDB0006562"", ""hmdb:HMDB0010199"", ""hmdb:HMDB0011137"", ""hmdb:HMDB0060107"", ""hmdb:HMDB0246949"", ""hmdb:HMDB0302209"", ""hmdb:HMDB0005014"", ""hmdb:HMDB0002265"", ""hmdb:HMDB0002311"", ""hmdb:HMDB0002314"", ""hmdb:HMDB0002343"", ""hmdb:HMDB0002995"", ""hmdb:HMDB0244588"")"
"38","Arachidonic acid metabolism(wiki)","0.0801644398766701","0.315065060520993","0.620901639344262","1.50229984055096","77","13","c(""hmdb:HMDB0013032"", ""hmdb:HMDB0062301"", ""hmdb:HMDB0011691"", ""hmdb:HMDB0250240"", ""hmdb:HMDB0001965"", ""hmdb:HMDB0001977"", ""hmdb:HMDB0060107"", ""hmdb:HMDB0002265"", ""hmdb:HMDB0002311"", ""hmdb:HMDB0002314"", ""hmdb:HMDB0002343"", ""hmdb:HMDB0002995"", ""hmdb:HMDB0244588"")"
"39","Arginine and proline metabolism(kegg)","0.258161727774987","0.582377628967882","-0.589584228655721","-1.21102168171567","513","12","c(""hmdb:HMDB0003423"", ""hmdb:HMDB0000641"", ""hmdb:HMDB0250742"", ""hmdb:HMDB0000904"")"
"40","Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2(reactome)","0.0127055306427504","0.172784396677762","0.927400000721971","1.5468559880403","16","3","c(""hmdb:HMDB0001847"", ""hmdb:HMDB0001860"")"
